time,data
1591033317.602670,0
1591033317.603990,0
1591033317.608147,0
1591033317.608965,0
1591033317.611748,0
1591033317.615414,0
1591033317.619065,0
1591033317.624240,0
1591033317.625391,0
1591033317.626699,0
1591033317.627729,0
1591033317.628794,100
1591033317.630524,100
1591033317.631756,100
1591033317.632874,100
1591033317.634353,100
1591033317.635784,100
1591033317.638901,100
1591033317.641633,100
1591033317.642594,100
1591033317.647198,100
1591033317.648413,100
1591033317.652478,100
1591033317.655039,100
1591033317.658655,100
1591033317.660303,100
1591033317.663740,100
1591033317.664953,100
1591033317.666127,100
1591033317.670107,100
1591033317.672550,100
1591033317.683218,100
1591033317.688319,100
1591033317.694030,100
1591033317.698078,100
1591033317.701233,100
1591033317.705799,100
1591033317.707914,100
1591033317.711030,100
1591033317.713014,100
1591033317.714961,100
1591033317.717827,100
1591033317.718785,100
1591033317.725293,100
1591033317.727152,100
1591033317.742431,0
1591033317.744232,0
1591033317.746175,0
1591033317.748192,0
1591033317.750281,0
1591033317.751301,0
1591033317.752462,0
1591033317.759000,0
1591033317.762749,0
1591033317.767796,0
1591033317.768925,0
1591033317.771567,0
1591033317.773046,0
1591033317.774620,0
1591033317.782341,0
1591033317.784284,0
1591033317.785516,0
1591033317.786602,0
1591033317.790128,0
1591033317.800411,0
1591033317.802865,0
1591033317.804241,0
1591033317.806667,0
1591033317.809843,0
1591033317.810773,0
1591033317.812547,0
1591033317.816475,0
1591033317.825467,0
1591033317.827258,0
1591033317.832578,100
1591033317.834017,100
1591033317.835092,100
1591033317.836309,100
1591033317.838925,100
1591033317.840385,100
1591033317.841875,100
1591033317.843083,100
1591033317.844348,100
1591033317.845760,100
1591033317.852964,100
1591033317.862504,100
1591033317.866240,100
1591033317.868257,100
1591033317.871709,100
