1568304884.161466 	100000 
1568304884.466186 	100001 
1568304884.768009 	100002 
1568304885.070954 	100003 
1568304885.374682 	100004 
1568304885.678131 	100005 
1568304885.982118 	100006 
1568304886.285445 	100007 
1568304886.588552 	100008 
1568304886.891515 	100009 
1568304887.195410 	100010 
1568304887.498897 	100011 
1568304887.802615 	100012 
1568304888.106582 	100013 
1568304888.410872 	100014 
1568304888.713123 	100015 
1568304889.016264 	100016 
1568304889.319529 	100017 
1568304889.622145 	100018 
1568304889.925463 	100019 
1568304890.228411 	100020 
1568304890.530745 	100021 
1568304890.833040 	100022 
1568304891.136262 	100023 
1568304891.439581 	100024 
1568304891.742016 	100025 
1568304892.045889 	100026 
1568304892.348078 	100027 
1568304892.650964 	100028 
1568304892.953933 	100029 
1568304893.257542 	100030 
1568304893.561788 	100031 
1568304893.862863 	100032 
1568304894.165518 	100033 
1568304894.468863 	100034 
1568304894.771488 	100035 
1568304895.077772 	100036 
1568304895.377482 	100037 
1568304895.680151 	100038 
1568304895.982938 	100039 
1568304896.286130 	100040 
1568304896.593665 	100041 
1568304896.892199 	100042 
1568304897.195520 	100043 
1568304897.498325 	100044 
1568304897.801401 	100045 
1568304898.109594 	100046 
1568304898.407943 	100047 
1568304898.710897 	100048 
1568304899.013894 	100049 
